index,salt-9gpl-freq-131khz,salt-13gpl-freq-131khz,salt-17gpl-freq-131khz,salt-21gpl-freq-131khz,salt-24gpl-freq-131khz,salt-28gpl-freq-131khz,salt-32gpl-freq-131khz,salt-36gpl-freq-131khz,salt-40gpl-freq-131khz
789,455,480,480,483,487,483,486,480,481
790,480,480,480,480,483,483,481,515,483
791,527,518,515,515,519,519,519,542,519
792,568,543,543,542,542,543,543,574,542
793,636,608,575,575,575,575,575,575,575
794,639,632,624,611,608,608,609,575,608
795,624,624,608,608,575,575,608,543,575
796,511,511,511,511,540,540,511,483,527
797,448,455,480,480,480,480,480,449,480
798,387,415,448,448,448,448,448,448,448
799,414,414,415,448,448,448,448,512,448
800,572,515,513,515,519,512,526,609,519
801,768,704,639,639,639,639,639,639,639
802,768,768,704,639,671,639,639,575,639
803,511,575,572,574,572,574,568,480,563
804,319,399,399,415,415,448,415,384,448
805,231,255,255,319,319,319,319,384,352
806,415,384,399,412,415,415,415,542,415
807,704,575,608,575,575,575,575,704,575
808,864,776,768,768,768,768,768,768,768
809,768,768,768,768,712,704,706,609,704
810,511,575,575,575,569,575,572,455,568
811,255,387,387,391,399,415,399,384,415
812,255,255,319,319,352,384,384,387,384
813,384,384,387,399,399,399,399,512,412
814,575,527,543,543,540,527,543,608,536
815,707,639,639,639,632,624,636,638,624
816,704,639,639,639,639,639,639,624,632
817,614,633,611,608,608,608,608,511,575
818,415,496,487,480,487,496,487,415,496
819,255,384,384,384,387,399,391,384,399
820,255,319,384,384,384,384,384,399,384
821,415,387,414,415,415,415,448,527,448
822,639,575,572,575,568,543,575,639,568
823,816,768,704,704,704,704,704,768,704
824,820,798,768,768,768,768,768,639,768
825,608,639,638,624,624,632,624,504,614
826,384,455,480,462,480,480,463,384,480
827,252,255,384,352,384,384,384,384,384
828,319,319,384,384,384,384,384,448,384
829,512,455,455,463,480,463,512,568,512
830,639,624,575,608,575,575,608,639,575
831,704,704,639,639,639,639,639,624,639
832,639,639,632,624,624,624,624,575,609
833,511,569,568,563,562,561,543,487,543
834,387,448,455,455,455,455,455,399,463
835,319,352,384,384,387,391,391,387,399
836,352,352,384,384,384,385,391,448,391
837,512,455,463,480,512,480,512,543,512
838,632,575,575,575,575,575,575,626,572
839,708,671,639,639,639,639,639,639,632
840,704,704,639,639,639,639,639,575,639
841,504,511,543,543,543,543,511,448,511
842,319,384,399,399,412,415,414,384,448
843,255,319,384,384,384,384,384,414,384
844,399,391,412,415,415,415,448,463,448
845,455,455,463,480,480,480,480,512,480
846,512,512,512,512,512,512,512,527,512
847,543,543,543,543,543,543,543,543,540
848,540,543,543,543,542,543,543,511,543
849,508,511,511,511,511,511,511,512,511
850,512,512,512,512,515,515,512,519,515
851,504,510,513,513,515,515,515,483,515
852,415,455,463,480,463,463,480,412,480
853,316,384,384,387,384,387,391,399,391
854,399,387,399,415,415,415,415,512,448
855,608,543,540,540,543,542,543,639,543
856,788,768,704,671,704,639,671,704,671
857,768,768,768,768,706,704,704,638,704
858,608,639,632,624,611,612,608,496,608
859,384,449,455,463,451,463,455,384,455
860,255,319,384,384,384,384,384,384,384
861,319,319,384,384,384,384,384,455,387
862,519,512,512,512,512,512,512,575,512
863,639,608,575,575,608,575,575,632,575
864,704,639,639,639,639,638,639,633,638
865,639,639,639,636,632,632,632,543,624
866,480,511,511,511,511,511,511,448,511
867,319,384,399,399,399,414,399,384,399
868,255,255,319,384,384,384,384,399,384
869,415,391,412,415,448,448,448,518,448
870,608,543,540,540,543,543,543,624,543
871,768,639,639,639,639,637,639,639,639
872,768,716,704,671,671,639,671,608,639
873,511,575,575,575,572,575,574,455,569
874,319,391,448,448,415,448,415,384,448
875,255,319,384,384,384,384,384,391,384
876,384,384,387,391,399,399,412,449,399
877,448,448,448,448,455,451,455,483,463
878,512,483,512,512,512,512,512,527,512
879,575,543,543,542,543,543,543,568,543
880,575,575,575,575,572,575,572,543,574
881,511,543,543,543,540,543,540,480,540
882,387,448,455,455,455,455,455,391,455
883,255,319,384,384,384,384,384,352,384
884,255,255,319,319,319,319,384,391,384
885,415,387,399,399,415,415,415,527,415
886,639,575,568,574,575,575,575,671,574
887,831,768,768,768,768,768,712,704,705
888,768,768,768,705,704,704,704,574,671
889,480,511,511,511,511,511,511,415,511
890,255,384,385,384,384,385,387,319,391
891,199,255,255,255,255,255,319,352,319
892,319,255,319,352,384,384,384,463,384
893,543,512,512,512,512,512,512,608,512
894,704,639,639,639,633,639,638,632,636
895,624,639,624,624,624,624,624,511,611
896,448,483,496,496,496,496,496,448,496
897,352,384,399,399,412,412,414,415,415
898,384,385,399,399,414,412,415,449,415
899,448,448,451,451,455,455,455,480,455
900,463,480,480,480,481,480,483,480,483
901,448,455,463,463,480,480,480,448,480
902,352,387,399,399,415,415,415,391,415
903,384,384,384,384,391,391,391,455,399
904,512,455,480,512,512,512,512,575,512
905,639,608,575,575,575,575,575,632,575
906,639,639,632,625,624,624,624,543,611
907,481,511,511,511,511,511,511,415,511
908,255,384,384,384,387,384,384,255,391
909,192,241,255,255,255,255,255,352,255
910,384,319,384,384,384,384,384,512,384
911,624,542,543,543,540,543,543,639,542
912,768,671,639,639,639,639,639,636,639
913,608,638,624,608,608,608,608,496,608
914,384,451,455,448,463,451,455,352,480
915,192,255,255,255,319,255,316,255,319
916,193,224,255,255,255,255,255,384,255
917,399,384,384,391,391,399,399,560,399
918,704,608,575,608,608,608,608,768,575
919,831,780,768,768,768,768,768,768,768
920,783,780,768,768,768,712,705,633,704
921,575,632,614,608,608,575,575,455,575
922,255,387,399,399,415,414,415,255,448
923,192,227,255,255,255,255,255,255,255
924,231,231,255,255,255,255,255,415,319
925,512,415,448,448,448,448,512,575,448
926,704,639,624,624,608,614,608,704,575
927,794,768,768,708,704,704,704,704,688
928,768,768,713,704,704,704,671,575,671
929,504,511,511,511,511,511,511,399,511
930,255,319,384,384,384,384,384,319,384
931,241,255,255,316,319,319,319,384,319
932,255,319,384,384,384,384,384,448,384
933,448,448,448,448,448,449,448,543,451
934,632,575,575,572,574,572,568,639,572
935,796,768,768,704,704,704,671,704,704
936,768,768,704,704,688,671,671,575,671
937,511,511,511,511,511,511,511,448,511
938,319,384,391,414,412,414,448,352,415
939,224,255,255,255,319,319,319,319,319
940,255,255,319,319,319,319,352,448,352
941,512,512,512,512,512,512,512,568,512
942,633,575,575,575,575,575,572,608,575
943,639,636,624,608,609,608,608,575,608
944,608,608,575,575,575,575,575,527,575
945,483,511,510,511,511,511,511,448,511
946,384,399,415,448,448,448,448,384,448
947,248,255,319,384,352,384,384,352,384
948,255,255,319,319,319,352,352,391,384
949,415,384,399,399,415,415,415,527,448
950,639,575,572,560,569,568,543,639,568
951,768,712,704,639,671,639,639,671,639
952,768,768,704,704,704,671,639,632,639
953,608,639,624,624,609,608,612,497,608
954,384,448,448,463,455,455,480,384,455
955,224,255,255,319,319,319,352,319,352
956,255,255,319,319,319,319,352,399,384
957,399,385,399,399,415,415,415,512,448
958,560,519,519,512,519,519,513,575,519
959,639,638,624,608,611,610,608,624,608
960,639,639,636,632,624,624,624,560,614
961,496,511,511,511,511,511,511,448,511
962,255,384,384,387,387,384,399,319,399
963,199,240,255,255,255,255,312,352,255
964,319,319,352,384,384,384,384,512,384
965,572,527,527,518,519,527,526,575,519
966,639,632,624,608,608,608,608,575,575
967,575,575,575,575,575,575,575,511,575
968,483,504,504,511,511,508,511,463,511
969,415,448,448,451,451,451,455,448,455
970,384,391,399,415,415,415,415,412,448
971,384,384,387,391,399,399,399,412,414
972,384,384,391,391,399,399,399,399,414
973,319,384,385,387,391,399,399,415,399
974,391,387,414,415,415,415,415,512,448
975,543,519,519,515,519,513,524,575,513
976,639,639,626,624,624,612,624,624,608
977,632,639,624,624,608,609,609,511,608
978,448,487,496,497,487,497,496,391,504
979,255,319,384,384,384,384,384,255,384
980,192,199,255,255,255,255,255,255,255
981,255,255,255,255,319,319,319,448,319
982,512,448,512,512,512,512,512,608,512
983,768,671,639,639,639,636,639,768,632
984,896,831,776,768,768,768,768,704,768
985,704,768,704,704,671,671,639,511,639
986,399,455,480,480,462,480,463,384,480
987,224,255,255,319,255,319,319,255,352
988,192,199,255,255,255,255,255,319,255
