index,time,dive-temperature,dive-depth,dive-speed
885,2025-12-12 09:41:05.194084+00:00,26.79,21.528000000000002,0.034000000000001286
885,2025-12-12 09:41:05.194084+00:00,26.88,21.502,-0.008666666666667785
886,2025-12-12 09:41:25.890095+00:00,26.98,21.644000000000002,0.04733333333333434
886,2025-12-12 09:41:25.890095+00:00,26.51,21.991999999999997,0.11599999999999848
886,2025-12-12 09:41:25.890095+00:00,25.33,21.669,-0.10766666666666562
886,2025-12-12 09:41:25.890095+00:00,26.27,21.589000000000002,-0.0266666666666661
887,2025-12-12 09:41:46.440923+00:00,26.06,21.969,0.12666666666666634
887,2025-12-12 09:41:46.440923+00:00,26.41,21.845,-0.04133333333333411
887,2025-12-12 09:41:46.440923+00:00,26.5,26.941,1.6986666666666668
887,2025-12-12 09:41:46.440923+00:00,25.69,37.18,3.4130000000000003
888,2025-12-12 09:42:07.122030+00:00,25.57,36.553000000000004,-0.20899999999999844
888,2025-12-12 09:42:07.122030+00:00,25.83,35.751000000000005,-0.2673333333333332
888,2025-12-12 09:42:07.122030+00:00,25.7,35.593,-0.052666666666667084
888,2025-12-12 09:42:07.122030+00:00,25.81,35.653999999999996,0.020333333333330945
889,2025-12-12 09:42:27.801644+00:00,25.97,35.56,-0.03133333333333136
889,2025-12-12 09:42:27.801644+00:00,25.64,35.493,-0.02233333333333339
889,2025-12-12 09:42:27.801644+00:00,25.25,35.847,0.11799999999999973
889,2025-12-12 09:42:27.801644+00:00,24.78,35.582,-0.08833333333333353
890,2025-12-12 09:42:38.299304+00:00,24.7,35.699,0.03899999999999911
890,2025-12-12 09:42:38.299304+00:00,24.39,35.507,-0.06400000000000006
890,2025-12-12 09:42:38.299304+00:00,24.35,35.65,0.04766666666666689
890,2025-12-12 09:42:38.299304+00:00,24.41,35.434,-0.07200000000000036
891,2025-12-12 09:42:58.991635+00:00,24.31,35.521,0.029000000000001098
891,2025-12-12 09:42:58.991635+00:00,24.3,35.558,0.01233333333333301
891,2025-12-12 09:42:58.991635+00:00,24.42,35.265,-0.09766666666666642
891,2025-12-12 09:42:58.991635+00:00,26.78,35.196999999999996,-0.022666666666668316
892,2025-12-12 09:43:19.494275+00:00,27.26,35.157,-0.01333333333333305
892,2025-12-12 09:43:19.494275+00:00,27.3,35.361000000000004,0.06800000000000257
